"","id","name","url","age","repo_id_lind","repo_id_GHT","is_valid","is_treatment","language","user_type","commercial_involvement","is_fwd_self","is_fwd_truong","num_bugs","num_classifier_bugs","num_contributors","num_commits","num_desdocs","num_issues","num_raw_issues","num_issues_classifier","num_PRs","num_forks","num_issuelinks","project_id","architecture","community","continuous_integration","documentation","history","license","management","project_size","repository_size","state","stars","unit_test","score","has_sequence"
"379",1412,"JetBrains/resharper-unity","https://www.github.com/JetBrains/resharper-unity",1246,NA,25308589,1,0,"C#","ORG",0.357143,1,-1,247,53,41,2257,0,464,351,257,409,106,344,25308589,0.91880695940348,0,1,0.0563276999948839,0,1,0,49283,55336,"dormant",639,0.0700444372298764,0,0
"380",1414,"Kooboo/CMS","https://www.github.com/Kooboo/CMS",887,NA,3363164,1,0,"C#","ORG",0.684211,1,-1,50,82,15,899,0,284,236,192,54,204,193,3363164,0.936814621409922,0,0,0.0757136727461502,0,1,0,153010,523452,"dormant",310,0.0304751323442912,0,0
"386",1424,"MohammadYounes/OWIN-MixedAuth","https://www.github.com/MohammadYounes/OWIN-MixedAuth",531,NA,12706833,1,0,"C#","USR",0,1,-1,0,0,1,18,0,97,11,61,1,38,2,12706833,0.80327868852459,0,0,0.181977715288496,0,1,0,6273,38690,"dormant",92,0,0,0
"398",1502,"awslabs/aws-apigateway-importer","https://www.github.com/awslabs/aws-apigateway-importer",510,NA,22046407,1,0,"Java","ORG",0.541667,1,-1,6,7,23,95,0,166,166,111,13,2,28,22046407,1,0,1,0.132463967055594,0,1,0,2014,2528,"dormant",500,0.171797418073486,0,0
"420",1585,"flavienlaurent/datetimepicker","https://www.github.com/flavienlaurent/datetimepicker",494,NA,4596919,1,0,"Java","USR",0.0833333,1,-1,1,1,8,73,0,105,96,67,27,454,12,4596919,0.85,0,0,0.208142493638677,0,1,0,3321,4668,"dormant",1882,0,0,0
"427",1603,"haku/Onosendai","https://www.github.com/haku/Onosendai",1933,NA,3024494,1,0,"Java","USR",0.2,1,-1,51,12,3,1002,0,181,56,115,2,14,199,3024494,0.989583333333333,0,0,0.049258050612647,0,1,0,28130,30882,"dormant",15,0.0849271240668326,0,0
"429",1615,"hrzafer/nuve","https://www.github.com/hrzafer/nuve",1419,NA,8607803,1,0,"C#","USR",0.25,1,-1,1,0,1,140,0,88,44,48,1,9,2,8607803,0.829268292682927,0,0,0.0615488495299434,0,1,0,15745,18068,"dormant",65,0.329818990155605,0,0
"430",1619,"iain-davis/CommunityBridge","https://www.github.com/iain-davis/CommunityBridge",1395,NA,1534971,1,0,"Java","USR",0.1,1,-1,91,27,8,798,0,253,101,145,3,6,70,1534971,0.956521739130435,0,0,0.112495575221239,0,0,0,10573,12536,"dormant",20,0.34588101768656,0,0
"434",1639,"joscha/play-authenticate","https://www.github.com/joscha/play-authenticate",2253,NA,15684,1,0,"Java","USR",0.0793651,1,-1,11,8,57,844,0,241,203,150,120,393,90,15684,0.969230769230769,0,1,0.109192773839469,0,1,0,6696,7791,"dormant",821,0.0507765830346475,55,0
"439",1665,"loresoft/EntityFramework.Extended","https://www.github.com/loresoft/EntityFramework.Extended",2209,NA,327574,1,0,"C#","ORG",0.137931,1,-1,1,5,28,178,0,178,178,103,64,305,39,327574,0.882352941176471,0,1,0.117220840625096,0,1,0,13080,28753,"dormant",1241,0.295795107033639,0,0
"449",1708,"nicoulaj/idea-markdown","https://www.github.com/nicoulaj/idea-markdown",1911,NA,252917,1,0,"Java","USR",0,1,-1,11,0,7,160,0,243,31,158,22,111,33,252917,0.608695652173913,0,0,0.558267883676502,0,1,0,1680,2081,"dormant",603,0,0,0
